A,B,C,D,E,F,G,H
v29,B013,c01,v13,E125,f00053,G0785,h14
v30,B051,c27,v51,E084,f00014,G0215,h00
v17,B060,c11,v00,E156,f00012,G0271,h02
v16,B000,c00,v00,E008,f00001,G0046,h01
v08,B044,c08,v44,E001,f00052,G0849,h08
v14,B029,c23,v29,E030,f00001,G0029,h14
v34,B113,c22,v53,E106,f00078,G0730,h04
v12,B041,c17,v41,E054,f00028,G0345,h12
v16,B020,c20,v20,E113,f00006,G0175,h01
v43,B056,c02,v56,E088,f00043,G0651,h13
v34,B005,c05,v05,E000,f00031,G0172,h04
v37,B053,c11,v53,E123,f00037,G0569,h07
v30,B008,c26,v08,E084,f00056,G0975,h00
v42,B031,c07,v31,E111,f00060,G0910,h12
v06,B049,c13,v49,E177,f00014,G0310,h06
v18,B074,c19,v14,E168,f00043,G0581,h03
v05,B024,c18,v24,E158,f00040,G0674,h05
v44,B100,c21,v40,E105,f00015,G0201,h14
v22,B097,c00,v37,E065,f00062,G0884,h07
v35,B110,c01,v50,E173,f00043,G0698,h05
v27,B085,c06,v25,E135,f00022,G0290,h12
v32,B101,c28,v41,E101,f00041,G0702,h02
v07,B008,c26,v08,E166,f00022,G0354,h07
v17,B049,c13,v49,E147,f00008,G0230,h02
v41,B049,c13,v49,E086,f00024,G0330,h11
v06,B090,c11,v30,E058,f00036,G0890,h06
v29,B064,c09,v04,E125,f00012,G0168,h14
v12,B019,c13,v19,E054,f00024,G0311,h12
v15,B067,c00,v07,E002,f00006,G0156,h00
v34,B018,c06,v18,E062,f00073,G0633,h04
v17,B041,c17,v41,E156,f00042,G0713,h02
v15,B000,c00,v00,E033,f00003,G0056,h00
v39,B018,c06,v18,E162,f00050,G0853,h09
v31,B097,c00,v37,E134,f00018,G0443,h01
v23,B073,c12,v13,E098,f00033,G0591,h08
v01,B047,c29,v47,E139,f00041,G0740,h01
v44,B029,c23,v29,E105,f00041,G0592,h14
v05,B079,c24,v19,E020,f00007,G0131,h05
v12,B006,c12,v06,E089,f00029,G0352,h12
v39,B055,c25,v55,E162,f00029,G0529,h09
v05,B072,c05,v12,E158,f00027,G0477,h05
v11,B002,c14,v02,E044,f00067,G0768,h11
v20,B062,c25,v02,E038,f00033,G0582,h05
v01,B068,c07,v08,E139,f00012,G0324,h01
v29,B113,c22,v53,E145,f00008,G0128,h14
v17,B080,c01,v20,E175,f00033,G0620,h02
v30,B062,c25,v02,E142,f00027,G0419,h00
v40,B030,c00,v30,E026,f00056,G0923,h10
v08,B039,c03,v39,E167,f00068,G0985,h08
v37,B045,c15,v45,E015,f00050,G0742,h07
v01,B030,c00,v30,E127,f00034,G0641,h01
v42,B011,c17,v11,E111,f00059,G0908,h12
v34,B008,c26,v08,E000,f00013,G0067,h04
v09,B082,c15,v22,E025,f00005,G0088,h09
v18,B053,c11,v53,E168,f00006,G0132,h03
v11,B028,c16,v28,E029,f00049,G0564,h11
v17,B007,c19,v07,E156,f00025,G0478,h02
v27,B089,c04,v29,E077,f00032,G0377,h12
v01,B097,c00,v37,E139,f00029,G0586,h01
v36,B060,c11,v00,E114,f00030,G0773,h06
v18,B093,c02,v33,E168,f00061,G0779,h03
v05,B101,c28,v41,E046,f00036,G0636,h05
v29,B076,c03,v16,E145,f00035,G0505,h14
v32,B064,c09,v04,E079,f00009,G0242,h02
v30,B044,c08,v44,E142,f00046,G0833,h00
v28,B100,c21,v40,E179,f00010,G0205,h13
v17,B019,c13,v19,E175,f00047,G0811,h02
v32,B089,c04,v29,E079,f00051,G0847,h02
v41,B099,c14,v39,E086,f00086,G0971,h11
v27,B026,c02,v26,E077,f00058,G0882,h12
v21,B014,c08,v14,E019,f00007,G0178,h06
v29,B113,c22,v53,E027,f00010,G0161,h14
v43,B114,c29,v54,E138,f00018,G0307,h13
v09,B057,c09,v57,E066,f00020,G0297,h09
v23,B118,c27,v58,E073,f00028,G0555,h08
v04,B052,c04,v52,E023,f00064,G0563,h04
v34,B007,c19,v07,E000,f00012,G0066,h04
v33,B005,c05,v05,E007,f00023,G0355,h03
v10,B062,c25,v02,E056,f00024,G0327,h10
v37,B007,c19,v07,E103,f00003,G0089,h07
v42,B013,c01,v13,E003,f00039,G0455,h12
v00,B070,c21,v10,E109,f00008,G0176,h00
v29,B051,c27,v51,E125,f00033,G0462,h14
v34,B016,c22,v16,E000,f00021,G0075,h04
v17,B012,c24,v12,E175,f00043,G0739,h02
v26,B008,c26,v08,E172,f00007,G0125,h11
v18,B118,c27,v58,E168,f00070,G0843,h03
v24,B105,c26,v45,E036,f00028,G0502,h09
v05,B042,c24,v42,E020,f00059,G0982,h05
v01,B031,c07,v31,E112,f00054,G0965,h01
v34,B041,c17,v41,E106,f00075,G0685,h04
v34,B011,c17,v11,E060,f00042,G0266,h04
v43,B028,c16,v28,E050,f00015,G0268,h13
v27,B064,c09,v04,E135,f00008,G0120,h12
v25,B110,c01,v50,E017,f00042,G0575,h10
v18,B075,c26,v15,E082,f00060,G0767,h03
v29,B104,c19,v44,E125,f00036,G0530,h14
v32,B050,c20,v50,E079,f00056,G0913,h02
v22,B031,c07,v31,E170,f00010,G0190,h07
v01,B026,c02,v26,E112,f00000,G0026,h01
v43,B094,c09,v34,E138,f00007,G0116,h13
v42,B100,c21,v40,E148,f00018,G0255,h12
v12,B066,c23,v06,E118,f00020,G0285,h12
v03,B000,c00,v00,E090,f00019,G0321,h03
v44,B058,c16,v58,E094,f00048,G0726,h14
v37,B109,c24,v49,E123,f00044,G0657,h07
v18,B032,c14,v32,E082,f00041,G0542,h03
v37,B108,c17,v48,E143,f00060,G0838,h07
v38,B048,c06,v48,E116,f00031,G0587,h08
v34,B019,c13,v19,E000,f00024,G0078,h04
v01,B039,c03,v39,E112,f00038,G0681,h01
v15,B050,c20,v50,E153,f00050,G0880,h00
v14,B076,c03,v16,E030,f00025,G0379,h14
v38,B010,c10,v10,E069,f00054,G0867,h08
v18,B079,c24,v19,E082,f00075,G0936,h03
v08,B015,c15,v15,E001,f00058,G0886,h08
v41,B033,c21,v33,E086,f00003,G0033,h11
v40,B107,c10,v47,E150,f00043,G0580,h10
v00,B090,c11,v30,E039,f00025,G0392,h00
v13,B049,c13,v49,E104,f00060,G0970,h13
v42,B088,c27,v28,E160,f00031,G0375,h12
v12,B057,c09,v57,E174,f00065,G0933,h12
v34,B009,c03,v09,E000,f00014,G0068,h04
v42,B031,c07,v31,E148,f00009,G0129,h12
v40,B035,c05,v35,E150,f00002,G0035,h10
v11,B025,c25,v25,E044,f00082,G0925,h11
v04,B029,c23,v29,E023,f00071,G0622,h04
v12,B068,c07,v08,E054,f00010,G0146,h12
v03,B031,c07,v31,E057,f00001,G0031,h03
v38,B019,c13,v19,E069,f00010,G0163,h08
v01,B086,c13,v26,E151,f00050,G0876,h01
v44,B116,c13,v56,E096,f00024,G0372,h14
v15,B071,c28,v11,E002,f00026,G0415,h00
v13,B075,c26,v15,E076,f00044,G0652,h13
v34,B017,c29,v17,E000,f00022,G0076,h04
v17,B000,c00,v00,E147,f00003,G0058,h02
v20,B070,c21,v10,E010,f00056,G0954,h05
v29,B114,c29,v54,E027,f00017,G0281,h14
v41,B012,c24,v12,E049,f00036,G0445,h11
v41,B096,c23,v36,E144,f00083,G0931,h11
v11,B041,c17,v41,E155,f00069,G0788,h11
v37,B043,c01,v43,E015,f00002,G0043,h07
v10,B060,c11,v00,E122,f00035,G0457,h10
v27,B030,c00,v30,E032,f00030,G0359,h12
v11,B081,c08,v21,E029,f00081,G0918,h11
v39,B011,c17,v11,E162,f00012,G0170,h09
v41,B015,c15,v15,E049,f00034,G0436,h11
v43,B111,c08,v51,E138,f00040,G0617,h13
v25,B073,c12,v13,E072,f00034,G0456,h10
v30,B052,c04,v52,E084,f00021,G0313,h00
v38,B083,c22,v23,E048,f00065,G0956,h08
v18,B096,c23,v36,E168,f00053,G0676,h03
v27,B117,c20,v57,E032,f00026,G0335,h12
v15,B036,c12,v36,E153,f00045,G0826,h00
v27,B085,c06,v25,E078,f00057,G0878,h12
v42,B034,c28,v34,E111,f00025,G0328,h12
v16,B035,c05,v35,E008,f00039,G0734,h01
v19,B003,c21,v03,E161,f00063,G0558,h04
v31,B056,c02,v56,E134,f00055,G0966,h01
v08,B080,c01,v20,E124,f00037,G0616,h08
v41,B023,c11,v23,E049,f00035,G0440,h11
v19,B031,c07,v31,E121,f00026,G0080,h04
v27,B034,c28,v34,E078,f00036,G0434,h12
v03,B055,c25,v55,E090,f00004,G0084,h03
v34,B058,c16,v58,E106,f00044,G0273,h04
v35,B011,c17,v11,E120,f00032,G0531,h05
v33,B050,c20,v50,E070,f00058,G0743,h03
v28,B038,c26,v38,E179,f00031,G0509,h13
v25,B059,c23,v59,E176,f00039,G0508,h10
v27,B080,c01,v20,E077,f00067,G0941,h12
v03,B043,c01,v43,E097,f00022,G0347,h03
v39,B057,c09,v57,E146,f00055,G0955,h09
v33,B016,c22,v16,E070,f00033,G0450,h03
v08,B023,c11,v23,E124,f00019,G0409,h08
v02,B113,c22,v53,E013,f00053,G0863,h02
v18,B053,c11,v53,E074,f00074,G0902,h03
v43,B014,c08,v14,E088,f00055,G0873,h13
v16,B056,c02,v56,E169,f00048,G0868,h01
v15,B084,c29,v24,E006,f00022,G0339,h00
v06,B099,c14,v39,E058,f00027,G0671,h06
v26,B078,c17,v18,E172,f00073,G0840,h11
v16,B014,c08,v14,E169,f00044,G0763,h01
v16,B040,c10,v40,E113,f00011,G0292,h01
v34,B118,c27,v58,E060,f00033,G0195,h04
v36,B037,c19,v37,E005,f00026,G0662,h06
v02,B011,c17,v11,E110,f00048,G0815,h02
v42,B016,c22,v16,E003,f00053,G0765,h12
v11,B030,c00,v30,E044,f00041,G0484,h11
v28,B056,c02,v56,E178,f00037,G0556,h13
v33,B043,c01,v43,E007,f00027,G0407,h03
v02,B077,c10,v17,E110,f00046,G0797,h02
v33,B049,c13,v49,E149,f00018,G0317,h03
v40,B109,c24,v49,E107,f00022,G0323,h10
v19,B042,c24,v42,E161,f00002,G0042,h04
v15,B022,c04,v22,E033,f00051,G0888,h00
v02,B033,c21,v33,E013,f00044,G0769,h02
v03,B013,c01,v13,E097,f00011,G0206,h03
v06,B035,c05,v35,E133,f00011,G0300,h06
v06,B037,c19,v37,E058,f00002,G0037,h06
v38,B105,c26,v45,E116,f00049,G0805,h08
v13,B078,c17,v18,E104,f00050,G0733,h13
v41,B052,c04,v52,E086,f00071,G0804,h11
v41,B030,c00,v30,E067,f00009,G0138,h11
v00,B039,c03,v39,E093,f00010,G0186,h00
v22,B032,c14,v32,E170,f00042,G0646,h07
v05,B004,c28,v04,E059,f00028,G0490,h05
v11,B047,c29,v47,E029,f00072,G0834,h11
v40,B038,c26,v38,E150,f00037,G0475,h10
v22,B036,c12,v36,E064,f00068,G0978,h07
v25,B113,c22,v53,E176,f00012,G0179,h10
v39,B076,c03,v16,E021,f00059,G0988,h09
v04,B058,c16,v58,E083,f00051,G0346,h04
v32,B077,c10,v17,E061,f00030,G0559,h02
v04,B060,c11,v00,E171,f00052,G0360,h04
v25,B000,c00,v00,E017,f00005,G0045,h10
v04,B026,c02,v26,E171,f00029,G0136,h04
v10,B010,c10,v10,E164,f00025,G0340,h10
v41,B100,c21,v40,E144,f00064,G0752,h11
v03,B090,c11,v30,E097,f00045,G0595,h03
v37,B115,c06,v55,E015,f00006,G0106,h07
v05,B018,c06,v18,E059,f00037,G0643,h05
v03,B077,c10,v17,E090,f00052,G0672,h03
v31,B100,c21,v40,E085,f00043,G0750,h01
v33,B101,c28,v41,E070,f00076,G0942,h03
v07,B028,c16,v28,E166,f00021,G0353,h07
v30,B078,c17,v18,E011,f00041,G0778,h00
v11,B021,c27,v21,E155,f00029,G0365,h11
v08,B014,c08,v14,E167,f00048,G0799,h08
v12,B086,c13,v26,E054,f00019,G0259,h12
v25,B051,c27,v51,E017,f00052,G0852,h10
v22,B078,c17,v18,E137,f00024,G0396,h07
v35,B020,c20,v20,E018,f00039,G0650,h05
v19,B009,c03,v09,E045,f00091,G0928,h04
v12,B080,c01,v20,E054,f00041,G0481,h12
v01,B105,c26,v45,E151,f00016,G0399,h01
v28,B020,c20,v20,E051,f00001,G0020,h13
v10,B005,c05,v05,E056,f00053,G0879,h10
v01,B065,c16,v05,E151,f00045,G0775,h01
v23,B064,c09,v04,E098,f00064,G0952,h08
v07,B062,c25,v02,E031,f00034,G0557,h07
v16,B036,c12,v36,E169,f00026,G0538,h01
v34,B010,c10,v10,E000,f00015,G0069,h04
v15,B074,c19,v14,E006,f00024,G0369,h00
v44,B042,c24,v42,E105,f00037,G0536,h14
v08,B086,c13,v26,E167,f00003,G0087,h08
v33,B011,c17,v11,E075,f00054,G0684,h03
v20,B082,c15,v22,E010,f00042,G0680,h05
v03,B013,c01,v13,E090,f00010,G0191,h03
v34,B088,c27,v28,E062,f00057,G0426,h04
v37,B073,c12,v13,E103,f00064,G0900,h07
v27,B070,c21,v10,E032,f00017,G0246,h12
v41,B014,c08,v14,E144,f00028,G0361,h11
v04,B005,c05,v05,E083,f00072,G0629,h04
v29,B001,c07,v01,E145,f00000,G0001,h14
v25,B097,c00,v37,E176,f00031,G0439,h10
v00,B096,c23,v36,E063,f00020,G0298,h00
v41,B064,c09,v04,E067,f00011,G0147,h11
v44,B088,c27,v28,E094,f00050,G0735,h14
v40,B024,c18,v24,E107,f00019,G0247,h10
v18,B119,c04,v59,E082,f00044,G0588,h03
v18,B117,c20,v57,E071,f00038,G0527,h03
v20,B001,c07,v01,E119,f00038,G0647,h05
v24,B016,c22,v16,E108,f00002,G0016,h09
v38,B006,c12,v06,E048,f00026,G0548,h08
v20,B040,c10,v40,E038,f00055,G0938,h05
v43,B064,c09,v04,E138,f00032,G0511,h13
v21,B012,c24,v12,E095,f00034,G0816,h06
v34,B005,c05,v05,E000,f00010,G0064,h04
v14,B031,c07,v31,E030,f00034,G0468,h14
v11,B021,c27,v21,E044,f00053,G0637,h11
v22,B088,c27,v28,E064,f00043,G0654,h07
v07,B060,c11,v00,E141,f00027,G0429,h07
v29,B108,c17,v48,E027,f00059,G0909,h14
v35,B000,c00,v00,E018,f00003,G0048,h05
v26,B008,c26,v08,E152,f00006,G0124,h11
v09,B010,c10,v10,E035,f00021,G0308,h09
v02,B067,c00,v07,E130,f00058,G0919,h02
v26,B057,c09,v57,E040,f00023,G0295,h11
v26,B048,c06,v48,E152,f00070,G0794,h11
v38,B019,c13,v19,E048,f00006,G0113,h08
v15,B086,c13,v26,E153,f00055,G0972,h00
v04,B106,c03,v46,E171,f00089,G0892,h04
v09,B055,c25,v55,E025,f00035,G0623,h09
v07,B024,c18,v24,E031,f00051,G0744,h07
v07,B039,c03,v39,E141,f00035,G0561,h07
v01,B106,c03,v46,E139,f00004,G0153,h01
v22,B086,c13,v26,E137,f00012,G0220,h07
v39,B084,c29,v24,E021,f00015,G0262,h09
v25,B019,c13,v19,E176,f00001,G0019,h10
v13,B103,c12,v43,E104,f00004,G0081,h13
v25,B005,c05,v05,E017,f00000,G0005,h10
v28,B101,c28,v41,E014,f00042,G0630,h13
v05,B067,c00,v07,E020,f00053,G0912,h05
v05,B021,c27,v21,E158,f00052,G0905,h05
v11,B063,c02,v03,E029,f00062,G0722,h11
v10,B064,c09,v04,E056,f00050,G0777,h10
v35,B040,c10,v40,E018,f00008,G0142,h05
v37,B079,c24,v19,E143,f00047,G0712,h07
v26,B010,c10,v10,E040,f00040,G0483,h11
v04,B078,c17,v18,E129,f00048,G0293,h04
v10,B039,c03,v39,E056,f00004,G0039,h10
v37,B019,c13,v19,E015,f00067,G0959,h07
v25,B112,c15,v52,E017,f00010,G0149,h10
v15,B050,c20,v50,E033,f00058,G0987,h00
v14,B023,c11,v23,E012,f00021,G0343,h14
v41,B001,c07,v01,E144,f00054,G0665,h11
v09,B083,c22,v23,E025,f00043,G0731,h09
v42,B107,c10,v47,E003,f00006,G0101,h12
v10,B114,c29,v54,E056,f00023,G0326,h10
v13,B028,c16,v28,E115,f00002,G0028,h13
v11,B065,c16,v05,E029,f00019,G0229,h11
v16,B054,c18,v54,E169,f00015,G0383,h01
v18,B012,c24,v12,E168,f00003,G0083,h03
v38,B083,c22,v23,E069,f00018,G0395,h08
v13,B092,c25,v32,E076,f00013,G0241,h13
v11,B044,c08,v44,E136,f00032,G0382,h11
v03,B103,c12,v43,E090,f00073,G0893,h03
v17,B072,c05,v12,E156,f00018,G0405,h02
v12,B000,c00,v00,E054,f00004,G0054,h12
v33,B011,c17,v11,E075,f00031,G0424,h03
v20,B027,c09,v27,E132,f00001,G0027,h05
v36,B107,c10,v47,E005,f00017,G0357,h06
v29,B014,c08,v14,E016,f00032,G0461,h14
v11,B048,c06,v48,E136,f00079,G0889,h11
v40,B093,c02,v33,E080,f00016,G0227,h10
v22,B024,c18,v24,E137,f00004,G0093,h07
v19,B046,c22,v46,E045,f00058,G0447,h04
v24,B023,c11,v23,E036,f00049,G0850,h09
v34,B112,c15,v52,E062,f00030,G0150,h04
v20,B060,c11,v00,E132,f00031,G0525,h05
v10,B032,c14,v32,E122,f00036,G0460,h10
v08,B018,c06,v18,E167,f00013,G0279,h08
v24,B036,c12,v36,E154,f00011,G0164,h09
v10,B058,c16,v58,E164,f00051,G0781,h10
v44,B054,c18,v54,E105,f00003,G0085,h14
v36,B099,c14,v39,E043,f00038,G0916,h06
v14,B051,c27,v51,E030,f00007,G0127,h14
v38,B053,c11,v53,E069,f00056,G0871,h08
v33,B023,c11,v23,E149,f00039,G0528,h03
v26,B006,c12,v06,E172,f00078,G0866,h11
v40,B069,c14,v09,E107,f00045,G0728,h10
v09,B027,c09,v27,E102,f00008,G0105,h09
v18,B063,c02,v03,E074,f00042,G0567,h03
v41,B101,c28,v41,E144,f00031,G0380,h11
v38,B089,c04,v29,E116,f00022,G0492,h08
v23,B025,c25,v25,E098,f00040,G0656,h08
v08,B000,c00,v00,E124,f00002,G0053,h08
v08,B077,c10,v17,E167,f00012,G0256,h08
v03,B038,c26,v38,E117,f00007,G0141,h03
v34,B008,c26,v08,E060,f00070,G0619,h04
v30,B071,c28,v11,E084,f00044,G0820,h00
v26,B034,c28,v34,E040,f00015,G0204,h11
v03,B073,c12,v13,E057,f00069,G0836,h03
v14,B026,c02,v26,E087,f00011,G0165,h14
v44,B074,c19,v14,E094,f00028,G0428,h14
v38,B004,c28,v04,E116,f00025,G0540,h08
v02,B005,c05,v05,E110,f00027,G0514,h02
v03,B114,c29,v54,E117,f00024,G0391,h03
v04,B058,c16,v58,E129,f00082,G0796,h04
v44,B058,c16,v58,E034,f00018,G0288,h14
v05,B009,c03,v09,E020,f00048,G0787,h05
v06,B028,c16,v28,E133,f00020,G0472,h06
v02,B005,c05,v05,E013,f00021,G0451,h02
v43,B061,c18,v01,E088,f00039,G0584,h13
v41,B095,c16,v35,E086,f00056,G0694,h11
v40,B031,c07,v31,E026,f00027,G0376,h10
v44,B112,c15,v52,E105,f00014,G0198,h14
v23,B009,c03,v09,E165,f00063,G0949,h08
v31,B097,c00,v37,E053,f00020,G0480,h01
v06,B113,c22,v53,E058,f00032,G0803,h06
v42,B098,c07,v38,E160,f00062,G0929,h12
v17,B066,c23,v06,E156,f00061,G0967,h02
v37,B041,c17,v41,E103,f00016,G0244,h07
v43,B084,c29,v24,E138,f00035,G0546,h13
v40,B079,c24,v19,E080,f00018,G0239,h10
v02,B023,c11,v23,E013,f00022,G0459,h02
v13,B055,c25,v55,E115,f00054,G0802,h13
v34,B045,c15,v45,E060,f00080,G0766,h04
v40,B016,c22,v16,E107,f00049,G0770,h10
v26,B071,c28,v11,E152,f00022,G0291,h11
v09,B090,c11,v30,E025,f00037,G0625,h09
v29,B081,c08,v21,E125,f00030,G0454,h14
v13,B085,c06,v25,E104,f00014,G0243,h13
v16,B027,c09,v27,E113,f00040,G0736,h01
v37,B032,c14,v32,E123,f00045,G0692,h07
v43,B050,c20,v50,E050,f00022,G0373,h13
v32,B097,c00,v37,E061,f00020,G0420,h02
v06,B044,c08,v44,E058,f00003,G0044,h06
v42,B038,c26,v38,E003,f00037,G0448,h12
v23,B109,c24,v49,E092,f00044,G0738,h08
v02,B032,c14,v32,E013,f00006,G0169,h02
v22,B018,c06,v18,E065,f00066,G0924,h07
v17,B013,c01,v13,E147,f00050,G0828,h02
v03,B111,c08,v51,E097,f00047,G0639,h03
v26,B078,c17,v18,E152,f00085,G0951,h11
v29,B047,c29,v47,E027,f00047,G0709,h14
v18,B072,c05,v12,E168,f00072,G0851,h03
v20,B016,c22,v16,E010,f00011,G0185,h05
v17,B026,c02,v26,E175,f00005,G0166,h02
v07,B085,c06,v25,E141,f00007,G0157,h07
v37,B039,c03,v39,E143,f00069,G0989,h07
v05,B083,c22,v23,E020,f00034,G0611,h05
v40,B066,c23,v06,E080,f00008,G0134,h10
v02,B047,c29,v47,E110,f00035,G0632,h02
v23,B064,c09,v04,E165,f00066,G0963,h08
v21,B058,c16,v58,E019,f00037,G0897,h06
v03,B033,c21,v33,E097,f00021,G0344,h03
v09,B087,c20,v27,E035,f00041,G0677,h09
v40,B038,c26,v38,E150,f00003,G0038,h10
v30,B012,c24,v12,E142,f00057,G0976,h00
v04,B002,c14,v02,E083,f00090,G0904,h04
v18,B092,c25,v32,E168,f00077,G0979,h03
v27,B095,c16,v35,E135,f00056,G0855,h12
v02,B097,c00,v37,E013,f00029,G0552,h02
v29,B018,c06,v18,E016,f00054,G0789,h14
v17,B107,c10,v47,E147,f00028,G0519,h02
v13,B021,c27,v21,E104,f00006,G0103,h13
v31,B093,c02,v33,E024,f00047,G0807,h01
v26,B019,c13,v19,E040,f00077,G0864,h11
v33,B030,c00,v30,E070,f00017,G0302,h03
v34,B020,c20,v20,E000,f00025,G0079,h04
v16,B038,c26,v38,E169,f00005,G0158,h01
v23,B085,c06,v25,E165,f00008,G0140,h08
v22,B024,c18,v24,E065,f00013,G0231,h07
v16,B110,c01,v50,E041,f00007,G0196,h01
v43,B102,c05,v42,E050,f00029,G0497,h13
v17,B054,c18,v54,E175,f00045,G0784,h02
v05,B032,c14,v32,E020,f00020,G0349,h05
v09,B065,c16,v05,E102,f00013,G0219,h09
v02,B018,c06,v18,E110,f00007,G0184,h02
v40,B026,c02,v26,E107,f00020,G0316,h10
v35,B073,c12,v13,E173,f00022,G0371,h05
v43,B018,c06,v18,E138,f00000,G0018,h13
v32,B118,c27,v58,E079,f00015,G0370,h02
v36,B075,c26,v15,E005,f00022,G0520,h06
v38,B089,c04,v29,E116,f00021,G0433,h08
v16,B074,c19,v14,E169,f00057,G0983,h01
v28,B037,c19,v37,E179,f00045,G0661,h13
v05,B054,c18,v54,E046,f00004,G0095,h05
v24,B051,c27,v51,E140,f00031,G0539,h09
v41,B118,c27,v58,E144,f00084,G0934,h11
v04,B046,c22,v46,E023,f00076,G0701,h04
v05,B027,c09,v27,E059,f00045,G0756,h05
v25,B047,c29,v47,E072,f00059,G0969,h10
v41,B117,c20,v57,E086,f00075,G0848,h11
v11,B052,c04,v52,E029,f00061,G0719,h11
v28,B022,c04,v22,E051,f00046,G0686,h13
v20,B076,c03,v16,E010,f00006,G0130,h05
v29,B108,c17,v48,E027,f00055,G0832,h14
v11,B079,c24,v19,E136,f00025,G0336,h11
v21,B032,c14,v32,E095,f00033,G0810,h06
v34,B013,c01,v13,E060,f00074,G0658,h04
v23,B064,c09,v04,E165,f00017,G0385,h08
v40,B108,c17,v48,E107,fx000,G0990,h10
v40,B108,c17,v48,E107,fx000,G0991,h11
v24,B081,c08,v21,E108,fx001,G0992,h09
v24,B081,c08,v21,E108,fx001,G0993,h10
v03,B042,c24,v42,E090,fx002,G0994,h03
v03,B042,c24,v42,E090,fx002,G0995,h04
v05,B096,c23,v36,E158,fx003,G0996,h05
v05,B096,c23,v36,E158,fx003,G0997,h06
v14,B007,c19,v07,E012,fx004,G0998,h14
v14,B007,c19,v07,E012,fx004,G0999,h00
